app,priority,status,source_text,translated_text,refs
erpnext,P3,missing,<li>Payment document required for row(s): {0}</li>,<li>Document de paiement requis pour la(les) ligne(s) : {0}</li>,erpnext/accounts/doctype/bank_clearance/bank_clearance.py:118
erpnext,P3,missing,<li>{}</li>,<li>{}</li>,erpnext/accounts/doctype/process_statement_of_accounts/process_statement_of_accounts.py:163 erpnext/utilities/bulk_transaction.py:35
erpnext,P3,missing,<p>Cannot overbill for the following Items:</p>,<p>Impossible de surfacturer les articles suivants :</p>,erpnext/controllers/accounts_controller.py:2258
erpnext,P3,missing,<p>Following {0}s doesn't belong to Company {1} :</p>,<p>Les {0} suivants n'appartiennent pas à la société {1} :</p>,erpnext/accounts/doctype/process_statement_of_accounts/process_statement_of_accounts.py:157
erpnext,P3,missing,<p>Please correct the following row(s):</p><ul>,<p>Veuillez corriger la ou les lignes suivantes :</p><ul>,erpnext/accounts/doctype/bank_clearance/bank_clearance.py:116
erpnext,P3,missing,<p>Posting Date {0} cannot be before Purchase Order date for the following:</p><ul>,<p>Date de publication {0} ne peut pas être antérieure à la date du bon de commande pour les éléments suivants :</p><ul>,erpnext/controllers/buying_controller.py:121
erpnext,P3,missing,"<p>To allow over-billing, please set allowance in Accounts Settings.</p>","<p>Pour autoriser la surfacturation, veuillez définir une allocation dans les paramètres des comptes.</p>",erpnext/controllers/accounts_controller.py:2270
erpnext,P3,missing,"<pre><h5>Message Example</h5>

&lt;p&gt; Thank You for being a part of {{ doc.company }}! We hope you are enjoying the service.&lt;/p&gt;

&lt;p&gt; Please find enclosed the E Bill statement. The outstanding amount is {{ doc.grand_total }}.&lt;/p&gt;

&lt;p&gt; We don't want you to be spending time running around in order to pay for your Bill.<br>After all, life is beautiful and the time you have in hand should be spent to enjoy it!<br>So here are our little ways to help you get more time for life! &lt;/p&gt;

&lt;a href=""{{ payment_url }}""&gt; click here to pay &lt;/a&gt;

</pre>
","<pre><h5>Exemple de message</h5>

&lt;p&gt; Merci de faire partie de {{ doc.company }} ! Nous espérons que vous appréciez le service.&lt;/p&gt;

&lt;p&gt; Veuillez trouver ci-joint le relevé E Bill. Le montant impayé est de {{ doc.grand_total }}.&lt;/p&gt;

&lt;p&gt; Nous ne voulons pas que vous passiez du temps à courir partout pour payer votre facture.<br>Après tout, la vie est belle et le temps que vous avez en main devrait être consacré à en profiter !<br>Voici donc nos petites façons de vous aider à avoir plus de temps pour la vie ! &lt;/p&gt;

&lt;a href=""{{ payment_url }}""&gt; cliquez ici pour payer &lt;/a&gt;

</pre>",erpnext/accounts/doctype/payment_gateway_account/payment_gateway_account.json
erpnext,P3,missing,"<pre><h5>Message Example</h5>

&lt;p&gt;Dear {{ doc.contact_person }},&lt;/p&gt;

&lt;p&gt;Requesting payment for {{ doc.doctype }}, {{ doc.name }} for {{ doc.grand_total }}.&lt;/p&gt;

&lt;a href=""{{ payment_url }}""&gt; click here to pay &lt;/a&gt;

</pre>
","<pre><h5>Exemple de message</h5>

&lt;p&gt;Cher {{ doc.contact_person }},&lt;/p&gt;

&lt;p&gt;Demande de paiement pour {{ doc.doctype }}, {{ doc.name }} pour {{ doc.grand_total }}.&lt;/p&gt;

&lt;a href=""{{ payment_url }}""&gt; cliquez ici pour payer &lt;/a&gt;

</pre>",erpnext/accounts/doctype/payment_request/payment_request.json
erpnext,P3,missing,"<span class=""h4""><b>Reports & Masters</b></span>","<span class=""h4""><b>Rapports & Masters</b></span>",erpnext/assets/workspace/assets/assets.json
erpnext,P3,missing,"<span class=""h4""><b>Shortcuts</b></span>","<span class=""h4""><b>Raccourcis</b></span>",erpnext/accounts/workspace/payables/payables.json erpnext/accounts/workspace/receivables/receivables.json
erpnext,P3,missing,"<span class=""h4""><b>Subcontracting Inward and Outward</b></span>","<span class=""h4""><b>Sous-traitance entrante et sortante</b></span>",erpnext/subcontracting/workspace/subcontracting/subcontracting.json
erpnext,P3,missing,<strong>Grand Total:</strong> {0},<strong>Total général :</strong> {0},erpnext/accounts/doctype/payment_request/payment_request.py:1002
erpnext,P3,missing,<strong>Outstanding Amount:</strong> {0},<strong>Montant impayé :</strong> {0},erpnext/accounts/doctype/payment_request/payment_request.py:1003
erpnext,P3,missing,A Reverse Journal Entry {0} already exists for this Journal Entry.,Une écriture de journal inversée {0} existe déjà pour cette écriture de journal.,erpnext/accounts/doctype/journal_entry/journal_entry.py:1952
erpnext,P3,untranslated_copy,API Details,Détails de l'API,erpnext/accounts/doctype/currency_exchange_settings/currency_exchange_settings.json
erpnext,P3,missing,Account Category,Catégorie de compte,erpnext/accounts/doctype/account/account.json erpnext/accounts/doctype/account/account_tree.js:166 erpnext/accounts/doctype/account_category/account_category.json
erpnext,P3,missing,Account Category Name,Nom de la catégorie de compte,erpnext/accounts/doctype/account_category/account_category.json
erpnext,P3,missing,Account Data,Données du compte,erpnext/accounts/doctype/financial_report_row/financial_report_row.json
erpnext,P3,missing,Account Detail Level,Niveau de détail du compte,erpnext/accounts/report/balance_sheet/balance_sheet.js:20 erpnext/accounts/report/cash_flow/cash_flow.js:29 erpnext/accounts/report/custom_financial_statement/custom_financial_statement.js:21 erpnext/accounts/report/profit_and_loss_statement/profit_and_loss_statement.js:20
erpnext,P3,missing,Account is mandatory,Le compte est obligatoire,erpnext/accounts/doctype/budget/budget.py:150
erpnext,P3,missing,Account {0} cannot be converted to Group as it is already set as {1} for {2}.,Le compte {0} ne peut pas être converti en groupe car il est déjà défini comme {1} pour {2}.,erpnext/accounts/doctype/account/account.py:291
erpnext,P3,missing,Account {0} cannot be disabled as it is already set as {1} for {2}.,Le compte {0} ne peut pas être désactivé car il est déjà défini comme {1} pour {2}.,erpnext/accounts/doctype/account/account.py:288
erpnext,P3,missing,Account {0} does not belong to company {1},Le compte {0} n'appartient pas à la société {1},erpnext/accounts/doctype/budget/budget.py:159
erpnext,P3,missing,Account {0} should be of type Expense,Le compte {0} doit être de type Dépense,erpnext/accounts/doctype/journal_entry/journal_entry.py:337
erpnext,P3,missing,Accounting Dimension Filter,Filtre de dimension comptable,erpnext/accounts/doctype/accounting_dimension_filter/accounting_dimension_filter.json
erpnext,P3,missing,Accounting Entry for Landed Cost Voucher for SCR {0},Écriture comptable pour pièce de prix au débarquement pour SCR {0},erpnext/subcontracting/doctype/subcontracting_receipt/subcontracting_receipt.py:873
erpnext,P3,missing,Accounts Included in Report,Comptes inclus dans le rapport,erpnext/accounts/doctype/financial_report_template/financial_report_template.js:192
erpnext,P3,missing,Accounts Missing from Report,Comptes manquants dans le rapport,erpnext/accounts/doctype/financial_report_template/financial_report_template.js:166 erpnext/accounts/doctype/financial_report_template/financial_report_template.js:191
erpnext,P3,missing,Accounts Receivable / Payable Tuning,Réglage des comptes clients/payeurs,erpnext/accounts/doctype/accounts_settings/accounts_settings.json
erpnext,P3,missing,Accrued Expenses,Frais à payer,erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py:158 erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py:265
erpnext,P3,missing,Accumulated Monthly Budget for Account {0} against {1} {2} is {3}. It will be collectively ({4}) exceeded by {5},Le budget mensuel accumulé pour le compte {0} par rapport à {1} {2} est de {3}. Il sera collectivement ({4}) dépassé par {5},erpnext/controllers/budget_controller.py:425
erpnext,P3,missing,Accumulated Monthly Budget for Account {0} against {1}: {2} is {3}. It will be exceeded by {4},Budget mensuel accumulé pour le compte {0} par rapport à {1} : {2} est {3}. Il sera dépassé de {4},erpnext/controllers/budget_controller.py:327
erpnext,P3,missing,Action if Accumulative Monthly Budget Exceeded on Cumulative Expense,Action si le budget mensuel cumulé est dépassé sur les dépenses cumulées,erpnext/accounts/doctype/budget/budget.json
erpnext,P3,missing,Action if Anual Budget Exceeded on Cumulative Expense,Action en cas de dépassement du budget annuel sur les dépenses cumulées,erpnext/accounts/doctype/budget/budget.json
erpnext,P3,missing,Action if Same Rate is Not Maintained Throughout  Internal Transaction,Action si le même taux n'est pas maintenu tout au long de la transaction interne,erpnext/accounts/doctype/accounts_settings/accounts_settings.json
erpnext,P3,missing,Active Subcontracted Items,Articles sous-traités actifs,erpnext/subcontracting/workspace/subcontracting/subcontracting.json
erpnext,P3,missing,Actual Demand,Demande réelle,erpnext/manufacturing/doctype/master_production_schedule/master_production_schedule.json
erpnext,P3,missing,Actual End Date cannot be before Actual Start Date,La date de fin réelle ne peut pas être antérieure à la date de début réelle,erpnext/manufacturing/doctype/work_order/work_order.py:222
erpnext,P3,missing,Actual Expenses,Dépenses réelles,erpnext/accounts/doctype/budget/budget.py:601
erpnext,P3,missing,Actual Posting,Publication réelle,erpnext/accounts/report/deferred_revenue_and_expense/deferred_revenue_and_expense.py:430
erpnext,P3,missing,Ad-hoc Qty,Quantité ponctuelle,erpnext/manufacturing/report/material_requirements_planning_report/material_requirements_planning_report.py:1005
erpnext,P3,missing,Add Phantom Item,Ajouter un article fantôme,erpnext/public/js/bom_configurator/bom_configurator.bundle.js:281 erpnext/public/js/bom_configurator/bom_configurator.bundle.js:416
erpnext,P3,missing,Add Safety Stock,Ajouter un stock de sécurité,erpnext/manufacturing/report/material_requirements_planning_report/material_requirements_planning_report.js:82
erpnext,P3,missing,Additional Discount Amount ({discount_amount}) cannot exceed the total before such discount ({total_before_discount}),Le montant de la remise supplémentaire ({discount_amount}) ne peut pas dépasser le total avant cette remise ({total_before_discount}),erpnext/controllers/taxes_and_totals.py:805
erpnext,P3,missing,Additional Material Transfer,Transfert de matériel supplémentaire,erpnext/manufacturing/doctype/work_order/work_order.js:787
erpnext,P3,missing,Additional Transferred Qty,Quantité transférée supplémentaire,erpnext/manufacturing/doctype/work_order/work_order.json
erpnext,P3,missing,"Additional Transferred Qty {0}
					cannot be greater than {1}.
					To fix this, increase the percentage value
					of the field 'Transfer Extra Raw Materials to WIP'
					in Manufacturing Settings.","Quantité transférée supplémentaire {0}
					ne peut pas être supérieur à {1}.
					Pour résoudre ce problème, augmentez la valeur en pourcentage
					du champ 'Transférer les matières premières supplémentaires vers l'en-cours'
					dans Paramètres de fabrication.",erpnext/manufacturing/doctype/work_order/work_order.py:660
erpnext,P3,missing,Additional {0} {1} of item {2} required as per BOM to complete this transaction,{0} {1} supplémentaire de l'article {2} requis selon la nomenclature pour terminer cette transaction,erpnext/subcontracting/doctype/subcontracting_receipt/subcontracting_receipt.py:590
erpnext,P3,missing,Adjust Qty,Ajuster la quantité,erpnext/manufacturing/doctype/sales_forecast_item/sales_forecast_item.json
erpnext,P3,missing,Advance Payment Ledger Entry,Écriture au grand livre des paiements anticipés,erpnext/accounts/doctype/advance_payment_ledger_entry/advance_payment_ledger_entry.json
erpnext,P3,missing,Advance Tax,Impôt anticipé,erpnext/accounts/doctype/advance_tax/advance_tax.json erpnext/accounts/doctype/purchase_invoice/purchase_invoice.json
erpnext,P3,missing,Advance paid against {0} {1} cannot be greater than Grand Total {2},L'avance versée sur {0} {1} ne peut pas être supérieure au total général {2},erpnext/accounts/doctype/journal_entry/journal_entry.py:845
erpnext,P3,missing,Advanced Filtering,Filtrage avancé,erpnext/accounts/doctype/financial_report_row/financial_report_row.json
erpnext,P3,missing,Against Supplier Invoice {0},Contre facture fournisseur {0},erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py:332
erpnext,P3,missing,Against Voucher No,Contre Bon Non,erpnext/accounts/doctype/advance_payment_ledger_entry/advance_payment_ledger_entry.json erpnext/accounts/doctype/payment_ledger_entry/payment_ledger_entry.json erpnext/accounts/report/general_ledger/general_ledger.js:57 erpnext/accounts/report/payment_ledger/payment_ledger.js:71 erpnext/accounts/report/payment_ledger/payment_ledger.py:192
erpnext,P3,missing,Ageing Report based on {0} up to {1},Rapport de vieillissement basé sur {0} jusqu'à {1},erpnext/accounts/doctype/process_statement_of_accounts/process_statement_of_accounts.html:104 erpnext/accounts/doctype/process_statement_of_accounts/process_statement_of_accounts_accounts_receivable.html:352
erpnext,P3,missing,Agent Busy Message,Message d'occupation de l'agent,erpnext/telephony/doctype/incoming_call_settings/incoming_call_settings.json erpnext/telephony/doctype/voice_call_settings/voice_call_settings.json
erpnext,P3,missing,Agent Unavailable Message,Message d'indisponibilité de l'agent,erpnext/telephony/doctype/incoming_call_settings/incoming_call_settings.json erpnext/telephony/doctype/voice_call_settings/voice_call_settings.json
erpnext,P3,missing,Agents,Agents,erpnext/crm/doctype/appointment_booking_settings/appointment_booking_settings.json
erpnext,P3,missing,All allocations have been successfully reconciled,Toutes les allocations ont été rapprochées avec succès,erpnext/accounts/doctype/process_payment_reconciliation_log/process_payment_reconciliation_log.json
erpnext,P3,missing,All items in this document already have a linked Quality Inspection.,Tous les éléments de ce document ont déjà une inspection qualité liée.,erpnext/public/js/controllers/transaction.js:2903
erpnext,P3,missing,"All the required items (raw materials) will be fetched from BOM and populated in this table. Here you can also change the Source Warehouse for any item. And during the production, you can track transferred raw materials from this table.","Tous les éléments requis (matières premières) seront extraits de la nomenclature et renseignés dans ce tableau. Ici, vous pouvez également modifier l'entrepôt source pour n'importe quel article. Et pendant la production, vous pouvez suivre les matières premières transférées à partir de ce tableau.",erpnext/manufacturing/doctype/work_order/work_order.js:1171
erpnext,P3,missing,Allocated Entries,Entrées attribuées,erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.json
erpnext,P3,missing,Allocation,Allocation,erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.js:282 erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.json
erpnext,P3,missing,Allocations,Allocations,erpnext/accounts/doctype/process_payment_reconciliation_log/process_payment_reconciliation_log.json erpnext/accounts/doctype/unreconcile_payment/unreconcile_payment.json erpnext/public/js/utils/unreconcile.js:104
erpnext,P3,missing,Allow Editing of Items and Quantities in Work Order,Autoriser la modification des articles et des quantités dans le bon de travail,erpnext/manufacturing/doctype/manufacturing_settings/manufacturing_settings.json
erpnext,P3,missing,Allow Implicit Pegged Currency Conversion,Autoriser la conversion implicite de devises indexées,erpnext/accounts/doctype/accounts_settings/accounts_settings.json
erpnext,P3,missing,Allow Item to Be Added Multiple Times in a Transaction,Autoriser l'ajout d'un article plusieurs fois dans une transaction,erpnext/controllers/selling_controller.py:838
erpnext,P3,missing,Allow Or Restrict Dimension,Autoriser ou restreindre la dimension,erpnext/accounts/doctype/accounting_dimension_filter/accounting_dimension_filter.json
erpnext,P3,missing,Allowed primary roles are 'Customer' and 'Supplier'. Please select one of these roles only.,Les rôles principaux autorisés sont « Client » et « Fournisseur ». Veuillez sélectionner un seul de ces rôles.,erpnext/accounts/doctype/party_link/party_link.py:27
erpnext,P3,missing,"Alternatively, you can download the template and fill your data in.",Vous pouvez également télécharger le modèle et remplir vos données.,erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.py:378
erpnext,P3,missing,Amount (AED),Montant (AED),erpnext/regional/report/uae_vat_201/uae_vat_201.py:22
erpnext,P3,missing,Amount in party's bank account currency,Montant dans la devise du compte bancaire du parti,erpnext/accounts/doctype/payment_request/payment_request.json
erpnext,P3,missing,Amount in transaction currency,Montant en devise de transaction,erpnext/accounts/doctype/payment_request/payment_request.json
erpnext,P3,missing,Annual Budget for Account {0} against {1} {2} is {3}. It will be collectively ({4}) exceeded by {5},Le budget annuel du compte {0} contre {1} {2} est {3}. Il sera collectivement ({4}) dépassé par {5},erpnext/controllers/budget_controller.py:449
erpnext,P3,missing,Annual Budget for Account {0} against {1}: {2} is {3}. It will be exceeded by {4},Budget annuel du compte {0} contre {1} : {2} est {3}. Il sera dépassé de {4},erpnext/controllers/budget_controller.py:314
erpnext,P3,missing,Another Budget record '{0}' already exists against {1} '{2}' and account '{3}' with overlapping fiscal years.,Un autre enregistrement budgétaire « {0} » existe déjà pour {1} « {2} » et le compte « {3} » avec des exercices fiscaux qui se chevauchent.,erpnext/accounts/doctype/budget/budget.py:142
erpnext,P3,missing,"Another Cost Center Allocation record {0} applicable from {1}, hence this allocation will be applicable upto {2}","Un autre enregistrement d'allocation de centre de coûts {0} applicable à partir du {1}, cette allocation sera donc applicable jusqu'au {2}",erpnext/accounts/doctype/cost_center_allocation/cost_center_allocation.py:107
erpnext,P3,missing,Another Payment Request is already processed,Une autre demande de paiement est déjà traitée,erpnext/accounts/doctype/payment_request/payment_request.py:752
erpnext,P3,missing,Applicable Dimension,Dimensions applicables,erpnext/accounts/doctype/accounting_dimension_filter/accounting_dimension_filter.json
erpnext,P3,missing,Applicable On Account,Applicable sur le compte,erpnext/accounts/doctype/accounting_dimension_filter/accounting_dimension_filter.json erpnext/accounts/doctype/applicable_on_account/applicable_on_account.json
erpnext,P3,missing,Applicable on Cumulative Expense,Applicable sur les dépenses cumulées,erpnext/accounts/doctype/budget/budget.json
erpnext,P3,missing,Apply Recursion Over (As Per Transaction UOM),Appliquer la récursion sur (selon l'UdM de la transaction),erpnext/accounts/doctype/pricing_rule/pricing_rule.json erpnext/accounts/doctype/promotional_scheme_product_discount/promotional_scheme_product_discount.json
erpnext,P3,missing,Apply restriction on dimension values,Appliquer une restriction sur les valeurs de dimension,erpnext/accounts/doctype/accounting_dimension_filter/accounting_dimension_filter.json
erpnext,P3,missing,Appointment Created Successfully,Rendez-vous créé avec succès,erpnext/www/book_appointment/index.js:237
erpnext,P3,missing,Appointment Scheduling Disabled,Planification de rendez-vous désactivée,erpnext/www/book_appointment/index.py:20
erpnext,P3,missing,Appointment Scheduling has been disabled for this site,La prise de rendez-vous a été désactivée pour ce site,erpnext/www/book_appointment/index.py:21
erpnext,P3,missing,Appointment was created. But no lead was found. Please check the email to confirm,Le rendez-vous a été créé. Mais aucune piste n'a été trouvée. Veuillez vérifier l'e-mail pour confirmer,erpnext/crm/doctype/appointment/appointment.py:101
erpnext,P3,missing,Approximately match the description/party name against parties,Correspond approximativement à la description/au nom du parti et aux partis,erpnext/accounts/doctype/accounts_settings/accounts_settings.json
erpnext,P3,missing,Are you sure you want to clear all demo data?,Êtes-vous sûr de vouloir effacer toutes les données de démonstration ?,erpnext/public/js/utils/demo.js:20
erpnext,P3,missing,Are you sure you want to delete this Item?,Êtes-vous sûr de vouloir supprimer cet élément ?,erpnext/public/js/bom_configurator/bom_configurator.bundle.js:480
erpnext,P3,missing,Are you sure you want to delete {0}?<p>This action will also delete all associated Common Code documents.</p>,Êtes-vous sûr de vouloir supprimer {0} ?<p>Cette action supprimera également tous les documents du Code commun associés.</p>,erpnext/edi/doctype/code_list/code_list.js:18
erpnext,P3,missing,Are you sure you want to revise this budget? The current budget will be cancelled and a new draft will be created.,Êtes-vous sûr de vouloir réviser ce budget ? Le budget actuel sera annulé et un nouveau projet sera créé.,erpnext/accounts/doctype/budget/budget.js:82
erpnext,P3,missing,"As there are sufficient Sub Assembly Items, Work Order is not required for Warehouse {0}.","Comme il y a suffisamment d'articles de sous-assemblage, un bon de travail n'est pas requis pour l'entrepôt {0}.",erpnext/manufacturing/doctype/production_plan/production_plan.py:1066
erpnext,P3,missing,Asset Activity,Activité des actifs,erpnext/assets/doctype/asset_activity/asset_activity.json erpnext/assets/report/asset_activity/asset_activity.json erpnext/assets/workspace/assets/assets.json
erpnext,P3,missing,Asset Capitalization,Capitalisation des actifs,erpnext/assets/doctype/asset/asset.json erpnext/assets/doctype/asset_capitalization/asset_capitalization.json erpnext/assets/workspace/assets/assets.json
erpnext,P3,missing,Asset Capitalization Asset Item,Élément d'actif de capitalisation d'actif,erpnext/assets/doctype/asset_capitalization_asset_item/asset_capitalization_asset_item.json
erpnext,P3,missing,Asset Capitalization Service Item,Élément de service de capitalisation des actifs,erpnext/assets/doctype/asset_capitalization_service_item/asset_capitalization_service_item.json
erpnext,P3,missing,Asset Capitalization Stock Item,Article de stock de capitalisation d'actif,erpnext/assets/doctype/asset_capitalization_stock_item/asset_capitalization_stock_item.json
erpnext,P3,missing,Asset Depreciation Schedule,Calendrier d'amortissement des actifs,erpnext/assets/doctype/asset_depreciation_schedule/asset_depreciation_schedule.json
erpnext,P3,missing,Asset Depreciation Schedule for Asset {0} and Finance Book {1} is not using shift based depreciation,Le plan d'amortissement des actifs pour l'actif {0} et le livre financier {1} n'utilise pas l'amortissement basé sur les équipes.,erpnext/assets/doctype/asset_shift_allocation/asset_shift_allocation.py:179
erpnext,P3,missing,Asset Depreciation Schedule not found for Asset {0} and Finance Book {1},Plan d'amortissement des actifs introuvable pour l'actif {0} et le livre financier {1},erpnext/assets/doctype/asset_depreciation_schedule/asset_depreciation_schedule.py:247 erpnext/assets/doctype/asset_shift_allocation/asset_shift_allocation.py:185
erpnext,P3,missing,Asset Depreciation Schedule {0} for Asset {1} already exists.,Le plan d'amortissement de l'actif {0} pour l'actif {1} existe déjà.,erpnext/assets/doctype/asset_depreciation_schedule/asset_depreciation_schedule.py:83
erpnext,P3,missing,Asset Depreciation Schedule {0} for Asset {1} and Finance Book {2} already exists.,Le plan d'amortissement des actifs {0} pour l'actif {1} et le livre financier {2} existe déjà.,erpnext/assets/doctype/asset_depreciation_schedule/asset_depreciation_schedule.py:77
erpnext,P3,missing,"Asset Depreciation Schedules created/updated:<br>{0}<br><br>Please check, edit if needed, and submit the Asset.","Plans d'amortissement des actifs créés/mis à jour :<br>{0}<br><br>Veuillez vérifier, modifier si nécessaire et soumettre l'actif.",erpnext/assets/doctype/asset/asset.py:236
erpnext,P3,missing,Asset Disposal,Cession d'actifs,erpnext/accounts/doctype/journal_entry/journal_entry.json
erpnext,P3,missing,Asset Repair Consumed Item,Objet consommé pour la réparation des actifs,erpnext/assets/doctype/asset_repair_consumed_item/asset_repair_consumed_item.json
erpnext,P3,missing,Asset Repair Purchase Invoice,Facture d'achat de réparation d'actifs,erpnext/assets/doctype/asset_repair_purchase_invoice/asset_repair_purchase_invoice.json
erpnext,P3,missing,Asset Shift Allocation,Répartition des actifs,erpnext/assets/doctype/asset_shift_allocation/asset_shift_allocation.json
erpnext,P3,missing,Asset Shift Factor,Facteur de déplacement des actifs,erpnext/assets/doctype/asset_shift_factor/asset_shift_factor.json
erpnext,P3,missing,Asset Shift Factor {0} is set as default currently. Please change it first.,Le facteur de transfert d'actifs {0} est actuellement défini par défaut. Veuillez d'abord le changer.,erpnext/assets/doctype/asset_shift_factor/asset_shift_factor.py:32
